Generation,Top Fitness,Mean Fitness,Run Time (s)
399,394,24.234375,43.42675805091858
400,216,26.83984375,51.639095067977905
401,197,24.5,49.59721398353577
402,191,21.87109375,41.49268198013306
403,201,18.69140625,31.97743320465088
404,212,21.1484375,41.148407220840454
405,200,17.19921875,35.25837326049805
406,367,19.29296875,34.84528589248657
407,202,20.95703125,33.158432960510254
408,194,16.3359375,27.865211248397827
409,198,17.3125,29.05760622024536
410,378,18.70703125,35.00745511054993
411,420,39.32421875,71.603520154953
412,1079,119.7734375,204.72484374046326
413,19200,339.953125,291.2469129562378
414,432,22.16015625,41.181586265563965
415,432,46.99609375,90.87469458580017
416,432,59.16796875,112.4016342163086
417,432,44.5703125,98.70957279205322
418,432,60.0234375,104.47419571876526
419,432,57.4609375,104.24727773666382
420,432,57.78515625,110.37690925598145
421,432,63.98046875,103.53995299339294
422,432,49.71875,99.98117923736572
423,432,63.87109375,119.19552731513977
424,432,71.4296875,124.84746146202087
425,432,84.87109375,137.40072345733643
426,432,107.9140625,161.5492763519287
427,432,84.8359375,123.5448260307312
428,432,83.40625,136.06010246276855
429,432,87.45703125,138.83927130699158
430,432,64.0703125,106.45233368873596
431,432,87.82421875,136.51196837425232
432,432,78.9609375,121.69691014289856
433,432,83.421875,138.91083359718323
434,432,68.53515625,125.52125763893127
435,432,92.23046875,143.91987800598145
436,432,84.609375,134.5165662765503
437,432,78.59375,137.17647981643677
438,432,73.96875,130.57108855247498
439,432,78.08203125,131.48738431930542
440,432,70.3203125,108.74695491790771
441,432,80.1328125,126.12571454048157
442,432,68.8671875,113.9307541847229
443,432,65.23046875,112.97262811660767
444,432,79.84765625,116.60136246681213
445,432,72.08984375,132.3648281097412
446,432,74.51171875,117.86059021949768
447,432,66.98828125,126.74154472351074
448,432,68.109375,106.62689566612244
449,432,70.4296875,122.51532864570618
450,432,76.9453125,115.93646192550659
451,432,76.515625,134.1708106994629
452,432,67.62890625,125.96608686447144
453,432,69.13671875,113.17403841018677
454,432,72.84375,129.30816316604614
455,432,67.13671875,110.51705980300903
456,432,69.1875,121.664705991745
457,432,65.7890625,109.78857946395874
458,432,59.8828125,100.5687210559845
459,432,76.28515625,121.4805691242218
460,432,68.43359375,115.09837865829468
461,432,67.44140625,126.58344864845276
462,432,58.78125,113.67500638961792
463,432,50.875,101.40683484077454
464,432,66.05078125,104.79951286315918
465,432,79.24609375,120.43279933929443
466,432,72.1015625,118.70249676704407
467,432,88.23828125,130.0263352394104
468,432,79.37109375,128.57844829559326
469,432,78.26953125,123.95344257354736
470,432,82.6328125,125.69041848182678
471,432,79.76171875,136.7871925830841
472,432,62.37109375,106.17288255691528
473,432,89.03515625,119.27086400985718
474,432,62.25,105.39281845092773
475,432,84.4140625,130.211088180542
476,432,78.9921875,123.34096312522888
